CCAA,date,cases,ccaa
CB,2020-03-13,54,Cantabria
CE,2020-03-13,6,Ceuta
CL,2020-03-13,505,CyL
CM,2020-03-13,632,CLM
CN,2020-03-13,109,Canarias
CT,2020-03-13,1361,Cataluña
EX,2020-03-13,95,Extremadura
GA,2020-03-13,243,Galicia
IB,2020-03-13,61,Baleares
MC,2020-03-13,104,Murcia
MD,2020-03-13,2818,Madrid
ML,2020-03-13,10,Melilla
NC,2020-03-13,211,Navarra
PV,2020-03-13,426,País Vasco
RI,2020-03-13,107,La Rioja
VC,2020-03-13,497,C. Valenciana
AN,2020-03-14,420,Andalucía
AR,2020-03-14,107,Aragón
AS,2020-03-14,81,Asturias
CB,2020-03-14,59,Cantabria
CE,2020-03-14,4,Ceuta
CL,2020-03-14,521,CyL
CM,2020-03-14,618,CLM
CN,2020-03-14,97,Canarias
CT,2020-03-14,1323,Cataluña
EX,2020-03-14,91,Extremadura
GA,2020-03-14,240,Galicia
IB,2020-03-14,71,Baleares
MC,2020-03-14,108,Murcia
MD,2020-03-14,2543,Madrid
ML,2020-03-14,4,Melilla
NC,2020-03-14,177,Navarra
PV,2020-03-14,418,País Vasco
RI,2020-03-14,138,La Rioja
VC,2020-03-14,495,C. Valenciana
AN,2020-03-15,449,Andalucía
AR,2020-03-15,127,Aragón
AS,2020-03-15,89,Asturias
CB,2020-03-15,68,Cantabria
CE,2020-03-15,2,Ceuta
CL,2020-03-15,535,CyL
CM,2020-03-15,787,CLM
CN,2020-03-15,91,Canarias
CT,2020-03-15,1365,Cataluña
EX,2020-03-15,86,Extremadura
GA,2020-03-15,270,Galicia
IB,2020-03-15,85,Baleares
MC,2020-03-15,96,Murcia
MD,2020-03-15,2643,Madrid
ML,2020-03-15,3,Melilla
NC,2020-03-15,262,Navarra
PV,2020-03-15,431,País Vasco
RI,2020-03-15,111,La Rioja
VC,2020-03-15,528,C. Valenciana
AN,2020-03-16,571,Andalucía
AR,2020-03-16,166,Aragón
AS,2020-03-16,106,Asturias
CB,2020-03-16,71,Cantabria
CE,2020-03-16,6,Ceuta
CL,2020-03-16,780,CyL
CM,2020-03-16,816,CLM
CN,2020-03-16,132,Canarias
CT,2020-03-16,1706,Cataluña
EX,2020-03-16,118,Extremadura
GA,2020-03-16,389,Galicia
IB,2020-03-16,88,Baleares
MC,2020-03-16,130,Murcia
MD,2020-03-16,2943,Madrid
ML,2020-03-16,6,Melilla
NC,2020-03-16,274,Navarra
PV,2020-03-16,597,País Vasco
RI,2020-03-16,157,La Rioja
VC,2020-03-16,635,C. Valenciana
AN,2020-03-17,572,Andalucía
AR,2020-03-17,157,Aragón
AS,2020-03-17,80,Asturias
CB,2020-03-17,76,Cantabria
CE,2020-03-17,5,Ceuta
CL,2020-03-17,730,CyL
CM,2020-03-17,747,CLM
CN,2020-03-17,93,Canarias
CT,2020-03-17,1561,Cataluña
EX,2020-03-17,109,Extremadura
GA,2020-03-17,328,Galicia
IB,2020-03-17,82,Baleares
MC,2020-03-17,103,Murcia
MD,2020-03-17,2773,Madrid
ML,2020-03-17,3,Melilla
NC,2020-03-17,267,Navarra
PV,2020-03-17,537,País Vasco
RI,2020-03-17,122,La Rioja
VC,2020-03-17,557,C. Valenciana
AN,2020-03-18,530,Andalucía
AR,2020-03-18,167,Aragón
AS,2020-03-18,91,Asturias
CB,2020-03-18,89,Cantabria
CE,2020-03-18,6,Ceuta
CL,2020-03-18,814,CyL
CM,2020-03-18,807,CLM
CN,2020-03-18,117,Canarias
CT,2020-03-18,1683,Cataluña
EX,2020-03-18,127,Extremadura
GA,2020-03-18,309,Galicia
IB,2020-03-18,81,Baleares
MC,2020-03-18,120,Murcia
MD,2020-03-18,2623,Madrid
ML,2020-03-18,6,Melilla
NC,2020-03-18,250,Navarra
PV,2020-03-18,553,País Vasco
RI,2020-03-18,143,La Rioja
VC,2020-03-18,532,C. Valenciana
AN,2020-03-19,555,Andalucía
AR,2020-03-19,166,Aragón
AS,2020-03-19,101,Asturias
CB,2020-03-19,177,Cantabria
CE,2020-03-19,5,Ceuta
CL,2020-03-19,866,CyL
CM,2020-03-19,757,CLM
CN,2020-03-19,77,Canarias
CT,2020-03-19,1607,Cataluña
EX,2020-03-19,127,Extremadura
GA,2020-03-19,294,Galicia
IB,2020-03-19,105,Baleares
MC,2020-03-19,118,Murcia
MD,2020-03-19,2421,Madrid
ML,2020-03-19,6,Melilla
NC,2020-03-19,233,Navarra
PV,2020-03-19,465,País Vasco
RI,2020-03-19,168,La Rioja
VC,2020-03-19,497,C. Valenciana
AN,2020-03-20,793,Andalucía
AR,2020-03-20,236,Aragón
AS,2020-03-20,83,Asturias
CB,2020-03-20,143,Cantabria
CE,2020-03-20,7,Ceuta
CL,2020-03-20,953,CyL
CM,2020-03-20,947,CLM
CN,2020-03-20,117,Canarias
CT,2020-03-20,1892,Cataluña
EX,2020-03-20,173,Extremadura
GA,2020-03-20,471,Galicia
IB,2020-03-20,97,Baleares
MC,2020-03-20,122,Murcia
MD,2020-03-20,3086,Madrid
ML,2020-03-20,4,Melilla
NC,2020-03-20,326,Navarra
PV,2020-03-20,610,País Vasco
RI,2020-03-20,191,La Rioja
VC,2020-03-20,572,C. Valenciana
AN,2020-03-21,543,Andalucía
AR,2020-03-21,177,Aragón
AS,2020-03-21,68,Asturias
CB,2020-03-21,99,Cantabria
CE,2020-03-21,7,Ceuta
CL,2020-03-21,765,CyL
CM,2020-03-21,631,CLM
CN,2020-03-21,86,Canarias
CT,2020-03-21,1457,Cataluña
EX,2020-03-21,133,Extremadura
GA,2020-03-21,277,Galicia
IB,2020-03-21,62,Baleares
MC,2020-03-21,83,Murcia
MD,2020-03-21,1906,Madrid
ML,2020-03-21,3,Melilla
NC,2020-03-21,206,Navarra
PV,2020-03-21,433,País Vasco
RI,2020-03-21,133,La Rioja
VC,2020-03-21,453,C. Valenciana
AN,2020-03-22,522,Andalucía
AR,2020-03-22,166,Aragón
AS,2020-03-22,75,Asturias
CB,2020-03-22,84,Cantabria
CE,2020-03-22,7,Ceuta
CL,2020-03-22,706,CyL
CM,2020-03-22,681,CLM
CN,2020-03-22,75,Canarias
CT,2020-03-22,1308,Cataluña
EX,2020-03-22,131,Extremadura
GA,2020-03-22,250,Galicia
IB,2020-03-22,91,Baleares
MC,2020-03-22,79,Murcia
MD,2020-03-22,1639,Madrid
ML,2020-03-22,5,Melilla
NC,2020-03-22,194,Navarra
PV,2020-03-22,394,País Vasco
RI,2020-03-22,108,La Rioja
VC,2020-03-22,397,C. Valenciana
AN,2020-03-23,561,Andalucía
AR,2020-03-23,268,Aragón
AS,2020-03-23,70,Asturias
CB,2020-03-23,87,Cantabria
CE,2020-03-23,9,Ceuta
CL,2020-03-23,769,CyL
CM,2020-03-23,766,CLM
CN,2020-03-23,97,Canarias
CT,2020-03-23,1501,Cataluña
EX,2020-03-23,245,Extremadura
GA,2020-03-23,385,Galicia
IB,2020-03-23,82,Baleares
MC,2020-03-23,128,Murcia
MD,2020-03-23,2109,Madrid
ML,2020-03-23,5,Melilla
NC,2020-03-23,242,Navarra
PV,2020-03-23,482,País Vasco
RI,2020-03-23,158,La Rioja
VC,2020-03-23,483,C. Valenciana
AN,2020-03-24,490,Andalucía
AR,2020-03-24,191,Aragón
AS,2020-03-24,58,Asturias
CB,2020-03-24,57,Cantabria
CE,2020-03-24,8,Ceuta
CL,2020-03-24,663,CyL
CM,2020-03-24,658,CLM
CN,2020-03-24,63,Canarias
CT,2020-03-24,1412,Cataluña
EX,2020-03-24,161,Extremadura
GA,2020-03-24,295,Galicia
IB,2020-03-24,66,Baleares
MC,2020-03-24,78,Murcia
MD,2020-03-24,1980,Madrid
ML,2020-03-24,1,Melilla
NC,2020-03-24,278,Navarra
PV,2020-03-24,396,País Vasco
RI,2020-03-24,118,La Rioja
VC,2020-03-24,338,C. Valenciana
AN,2020-03-25,521,Andalucía
AR,2020-03-25,189,Aragón
AS,2020-03-25,57,Asturias
CB,2020-03-25,57,Cantabria
CE,2020-03-25,9,Ceuta
CL,2020-03-25,695,CyL
CM,2020-03-25,672,CLM
CN,2020-03-25,55,Canarias
CT,2020-03-25,1323,Cataluña
EX,2020-03-25,153,Extremadura
GA,2020-03-25,288,Galicia
IB,2020-03-25,84,Baleares
MC,2020-03-25,84,Murcia
MD,2020-03-25,1767,Madrid
ML,2020-03-25,4,Melilla
NC,2020-03-25,242,Navarra
PV,2020-03-25,409,País Vasco
RI,2020-03-25,131,La Rioja
VC,2020-03-25,410,C. Valenciana
AN,2020-03-26,469,Andalucía
AR,2020-03-26,166,Aragón
AS,2020-03-26,77,Asturias
CB,2020-03-26,39,Cantabria
CE,2020-03-26,5,Ceuta
CL,2020-03-26,555,CyL
CM,2020-03-26,593,CLM
CN,2020-03-26,62,Canarias
CT,2020-03-26,1386,Cataluña
EX,2020-03-26,138,Extremadura
GA,2020-03-26,300,Galicia
IB,2020-03-26,73,Baleares
MC,2020-03-26,46,Murcia
MD,2020-03-26,1542,Madrid
ML,2020-03-26,6,Melilla
NC,2020-03-26,167,Navarra
PV,2020-03-26,363,País Vasco
RI,2020-03-26,114,La Rioja
VC,2020-03-26,311,C. Valenciana
AN,2020-03-27,422,Andalucía
AR,2020-03-27,212,Aragón
AS,2020-03-27,70,Asturias
CB,2020-03-27,74,Cantabria
CE,2020-03-27,2,Ceuta
CL,2020-03-27,525,CyL
CM,2020-03-27,514,CLM
CN,2020-03-27,71,Canarias
CT,2020-03-27,1250,Cataluña
EX,2020-03-27,109,Extremadura
GA,2020-03-27,306,Galicia
IB,2020-03-27,40,Baleares
MC,2020-03-27,51,Murcia
MD,2020-03-27,1482,Madrid
ML,2020-03-27,5,Melilla
NC,2020-03-27,161,Navarra
PV,2020-03-27,397,País Vasco
RI,2020-03-27,129,La Rioja
VC,2020-03-27,332,C. Valenciana
AN,2020-03-28,324,Andalucía
AR,2020-03-28,146,Aragón
AS,2020-03-28,53,Asturias
CB,2020-03-28,68,Cantabria
CE,2020-03-28,5,Ceuta
CL,2020-03-28,522,CyL
CM,2020-03-28,422,CLM
CN,2020-03-28,36,Canarias
CT,2020-03-28,1325,Cataluña
EX,2020-03-28,96,Extremadura
GA,2020-03-28,336,Galicia
IB,2020-03-28,36,Baleares
MC,2020-03-28,40,Murcia
MD,2020-03-28,1244,Madrid
ML,2020-03-28,4,Melilla
NC,2020-03-28,140,Navarra
PV,2020-03-28,290,País Vasco
RI,2020-03-28,100,La Rioja
VC,2020-03-28,245,C. Valenciana
AN,2020-03-29,340,Andalucía
AR,2020-03-29,137,Aragón
AS,2020-03-29,40,Asturias
CB,2020-03-29,39,Cantabria
CE,2020-03-29,7,Ceuta
CL,2020-03-29,423,CyL
CM,2020-03-29,379,CLM
CN,2020-03-29,42,Canarias
CT,2020-03-29,1039,Cataluña
EX,2020-03-29,62,Extremadura
GA,2020-03-29,198,Galicia
IB,2020-03-29,37,Baleares
MC,2020-03-29,35,Murcia
MD,2020-03-29,863,Madrid
ML,2020-03-29,5,Melilla
NC,2020-03-29,96,Navarra
PV,2020-03-29,267,País Vasco
RI,2020-03-29,87,La Rioja
VC,2020-03-29,217,C. Valenciana
AN,2020-03-30,340,Andalucía
AR,2020-03-30,127,Aragón
AS,2020-03-30,45,Asturias
CB,2020-03-30,27,Cantabria
CE,2020-03-30,5,Ceuta
CL,2020-03-30,496,CyL
CM,2020-03-30,528,CLM
CN,2020-03-30,51,Canarias
CT,2020-03-30,1200,Cataluña
EX,2020-03-30,107,Extremadura
GA,2020-03-30,282,Galicia
IB,2020-03-30,66,Baleares
MC,2020-03-30,41,Murcia
MD,2020-03-30,1078,Madrid
ML,2020-03-30,3,Melilla
NC,2020-03-30,245,Navarra
PV,2020-03-30,320,País Vasco
RI,2020-03-30,117,La Rioja
VC,2020-03-30,254,C. Valenciana
AN,2020-03-31,253,Andalucía
AR,2020-03-31,116,Aragón
AS,2020-03-31,42,Asturias
CB,2020-03-31,33,Cantabria
CE,2020-03-31,2,Ceuta
CL,2020-03-31,399,CyL
CM,2020-03-31,415,CLM
CN,2020-03-31,28,Canarias
CT,2020-03-31,1131,Cataluña
EX,2020-03-31,61,Extremadura
GA,2020-03-31,167,Galicia
IB,2020-03-31,48,Baleares
MC,2020-03-31,30,Murcia
MD,2020-03-31,1074,Madrid
ML,2020-03-31,3,Melilla
NC,2020-03-31,151,Navarra
PV,2020-03-31,266,País Vasco
RI,2020-03-31,108,La Rioja
VC,2020-03-31,180,C. Valenciana
AN,2020-04-01,352,Andalucía
AR,2020-04-01,157,Aragón
AS,2020-04-01,29,Asturias
CB,2020-04-01,72,Cantabria
CE,2020-04-01,8,Ceuta
CL,2020-04-01,561,CyL
CM,2020-04-01,469,CLM
CN,2020-04-01,51,Canarias
CT,2020-04-01,1278,Cataluña
EX,2020-04-01,134,Extremadura
GA,2020-04-01,240,Galicia
IB,2020-04-01,84,Baleares
MC,2020-04-01,28,Murcia
MD,2020-04-01,1336,Madrid
ML,2020-04-01,5,Melilla
NC,2020-04-01,233,Navarra
PV,2020-04-01,288,País Vasco
RI,2020-04-01,108,La Rioja
VC,2020-04-01,237,C. Valenciana
AN,2020-04-02,263,Andalucía
AR,2020-04-02,127,Aragón
AS,2020-04-02,54,Asturias
CB,2020-04-02,53,Cantabria
CE,2020-04-02,2,Ceuta
CL,2020-04-02,516,CyL
CM,2020-04-02,367,CLM
CN,2020-04-02,34,Canarias
CT,2020-04-02,1065,Cataluña
EX,2020-04-02,76,Extremadura
GA,2020-04-02,266,Galicia
IB,2020-04-02,35,Baleares
MC,2020-04-02,30,Murcia
MD,2020-04-02,1000,Madrid
ML,2020-04-02,3,Melilla
NC,2020-04-02,144,Navarra
PV,2020-04-02,256,País Vasco
RI,2020-04-02,100,La Rioja
VC,2020-04-02,217,C. Valenciana
AN,2020-04-03,202,Andalucía
AR,2020-04-03,109,Aragón
AS,2020-04-03,38,Asturias
CB,2020-04-03,34,Cantabria
CE,2020-04-03,2,Ceuta
CL,2020-04-03,566,CyL
CM,2020-04-03,340,CLM
CN,2020-04-03,17,Canarias
CT,2020-04-03,1209,Cataluña
EX,2020-04-03,104,Extremadura
GA,2020-04-03,209,Galicia
IB,2020-04-03,47,Baleares
MC,2020-04-03,26,Murcia
MD,2020-04-03,927,Madrid
ML,2020-04-03,4,Melilla
NC,2020-04-03,138,Navarra
PV,2020-04-03,330,País Vasco
RI,2020-04-03,79,La Rioja
VC,2020-04-03,215,C. Valenciana
AN,2020-04-04,317,Andalucía
AR,2020-04-04,94,Aragón
AS,2020-04-04,45,Asturias
CB,2020-04-04,62,Cantabria
CE,2020-04-04,2,Ceuta
CL,2020-04-04,569,CyL
CM,2020-04-04,385,CLM
CN,2020-04-04,29,Canarias
CT,2020-04-04,966,Cataluña
EX,2020-04-04,75,Extremadura
GA,2020-04-04,134,Galicia
IB,2020-04-04,25,Baleares
MC,2020-04-04,21,Murcia
MD,2020-04-04,709,Madrid
ML,2020-04-04,3,Melilla
NC,2020-04-04,88,Navarra
PV,2020-04-04,215,País Vasco
RI,2020-04-04,55,La Rioja
VC,2020-04-04,143,C. Valenciana
AN,2020-04-05,276,Andalucía
AR,2020-04-05,95,Aragón
AS,2020-04-05,43,Asturias
CB,2020-04-05,25,Cantabria
CE,2020-04-05,2,Ceuta
CL,2020-04-05,391,CyL
CM,2020-04-05,464,CLM
CN,2020-04-05,17,Canarias
CT,2020-04-05,845,Cataluña
EX,2020-04-05,53,Extremadura
GA,2020-04-05,118,Galicia
IB,2020-04-05,30,Baleares
MC,2020-04-05,29,Murcia
MD,2020-04-05,633,Madrid
ML,2020-04-05,1,Melilla
NC,2020-04-05,101,Navarra
PV,2020-04-05,229,País Vasco
RI,2020-04-05,36,La Rioja
VC,2020-04-05,122,C. Valenciana
AN,2020-04-06,186,Andalucía
AR,2020-04-06,124,Aragón
AS,2020-04-06,41,Asturias
CB,2020-04-06,28,Cantabria
CE,2020-04-06,3,Ceuta
CL,2020-04-06,594,CyL
CM,2020-04-06,420,CLM
CN,2020-04-06,13,Canarias
CT,2020-04-06,818,Cataluña
EX,2020-04-06,78,Extremadura
GA,2020-04-06,184,Galicia
IB,2020-04-06,26,Baleares
MC,2020-04-06,15,Murcia
MD,2020-04-06,623,Madrid
ML,2020-04-06,0,Melilla
NC,2020-04-06,149,Navarra
PV,2020-04-06,298,País Vasco
RI,2020-04-06,41,La Rioja
VC,2020-04-06,180,C. Valenciana
AN,2020-04-07,266,Andalucía
AR,2020-04-07,108,Aragón
AS,2020-04-07,45,Asturias
CB,2020-04-07,13,Cantabria
CE,2020-04-07,2,Ceuta
CL,2020-04-07,429,CyL
CM,2020-04-07,364,CLM
CN,2020-04-07,26,Canarias
CT,2020-04-07,744,Cataluña
EX,2020-04-07,72,Extremadura
GA,2020-04-07,154,Galicia
IB,2020-04-07,19,Baleares
MC,2020-04-07,10,Murcia
MD,2020-04-07,746,Madrid
ML,2020-04-07,2,Melilla
NC,2020-04-07,118,Navarra
PV,2020-04-07,241,País Vasco
RI,2020-04-07,52,La Rioja
VC,2020-04-07,171,C. Valenciana
AN,2020-04-08,250,Andalucía
AR,2020-04-08,110,Aragón
AS,2020-04-08,48,Asturias
CB,2020-04-08,26,Cantabria
CE,2020-04-08,1,Ceuta
CL,2020-04-08,508,CyL
CM,2020-04-08,366,CLM
CN,2020-04-08,16,Canarias
CT,2020-04-08,991,Cataluña
EX,2020-04-08,83,Extremadura
GA,2020-04-08,150,Galicia
IB,2020-04-08,23,Baleares
MC,2020-04-08,40,Murcia
MD,2020-04-08,680,Madrid
ML,2020-04-08,0,Melilla
NC,2020-04-08,118,Navarra
PV,2020-04-08,243,País Vasco
RI,2020-04-08,45,La Rioja
VC,2020-04-08,169,C. Valenciana
AN,2020-04-09,137,Andalucía
AR,2020-04-09,101,Aragón
AS,2020-04-09,43,Asturias
CB,2020-04-09,23,Cantabria
CE,2020-04-09,3,Ceuta
CL,2020-04-09,537,CyL
CM,2020-04-09,350,CLM
CN,2020-04-09,26,Canarias
CT,2020-04-09,1047,Cataluña
EX,2020-04-09,76,Extremadura
GA,2020-04-09,159,Galicia
IB,2020-04-09,11,Baleares
MC,2020-04-09,26,Murcia
MD,2020-04-09,637,Madrid
ML,2020-04-09,0,Melilla
NC,2020-04-09,112,Navarra
PV,2020-04-09,214,País Vasco
RI,2020-04-09,44,La Rioja
VC,2020-04-09,173,C. Valenciana
AN,2020-04-10,218,Andalucía
AR,2020-04-10,84,Aragón
AS,2020-04-10,57,Asturias
CB,2020-04-10,29,Cantabria
CE,2020-04-10,1,Ceuta
CL,2020-04-10,558,CyL
CM,2020-04-10,300,CLM
CN,2020-04-10,14,Canarias
CT,2020-04-10,1008,Cataluña
EX,2020-04-10,98,Extremadura
GA,2020-04-10,80,Galicia
IB,2020-04-10,21,Baleares
MC,2020-04-10,12,Murcia
MD,2020-04-10,706,Madrid
ML,2020-04-10,1,Melilla
NC,2020-04-10,106,Navarra
PV,2020-04-10,199,País Vasco
RI,2020-04-10,40,La Rioja
VC,2020-04-10,141,C. Valenciana
AN,2020-04-11,161,Andalucía
AR,2020-04-11,64,Aragón
AS,2020-04-11,53,Asturias
CB,2020-04-11,24,Cantabria
CE,2020-04-11,2,Ceuta
CL,2020-04-11,482,CyL
CM,2020-04-11,158,CLM
CN,2020-04-11,14,Canarias
CT,2020-04-11,1059,Cataluña
EX,2020-04-11,72,Extremadura
GA,2020-04-11,66,Galicia
IB,2020-04-11,15,Baleares
MC,2020-04-11,12,Murcia
MD,2020-04-11,571,Madrid
ML,2020-04-11,0,Melilla
NC,2020-04-11,84,Navarra
PV,2020-04-11,140,País Vasco
RI,2020-04-11,25,La Rioja
VC,2020-04-11,133,C. Valenciana
AN,2020-04-12,128,Andalucía
AR,2020-04-12,54,Aragón
AS,2020-04-12,23,Asturias
CB,2020-04-12,46,Cantabria
CE,2020-04-12,0,Ceuta
CL,2020-04-12,326,CyL
CM,2020-04-12,229,CLM
CN,2020-04-12,8,Canarias
CT,2020-04-12,667,Cataluña
EX,2020-04-12,47,Extremadura
GA,2020-04-12,66,Galicia
IB,2020-04-12,15,Baleares
MC,2020-04-12,11,Murcia
MD,2020-04-12,495,Madrid
ML,2020-04-12,1,Melilla
NC,2020-04-12,90,Navarra
PV,2020-04-12,153,País Vasco
RI,2020-04-12,22,La Rioja
VC,2020-04-12,84,C. Valenciana
AN,2020-04-13,110,Andalucía
AR,2020-04-13,83,Aragón
AS,2020-04-13,32,Asturias
CB,2020-04-13,35,Cantabria
CE,2020-04-13,2,Ceuta
CL,2020-04-13,511,CyL
CM,2020-04-13,329,CLM
CN,2020-04-13,13,Canarias
CT,2020-04-13,596,Cataluña
EX,2020-04-13,68,Extremadura
GA,2020-04-13,110,Galicia
IB,2020-04-13,15,Baleares
MC,2020-04-13,7,Murcia
MD,2020-04-13,381,Madrid
ML,2020-04-13,1,Melilla
NC,2020-04-13,87,Navarra
PV,2020-04-13,130,País Vasco
RI,2020-04-13,29,La Rioja
VC,2020-04-13,99,C. Valenciana
AN,2020-04-14,209,Andalucía
AR,2020-04-14,53,Aragón
AS,2020-04-14,30,Asturias
CB,2020-04-14,14,Cantabria
CE,2020-04-14,0,Ceuta
CL,2020-04-14,460,CyL
CM,2020-04-14,238,CLM
CN,2020-04-14,13,Canarias
CT,2020-04-14,719,Cataluña
EX,2020-04-14,87,Extremadura
GA,2020-04-14,100,Galicia
IB,2020-04-14,10,Baleares
MC,2020-04-14,7,Murcia
MD,2020-04-14,491,Madrid
ML,2020-04-14,0,Melilla
NC,2020-04-14,100,Navarra
PV,2020-04-14,104,País Vasco
RI,2020-04-14,24,La Rioja
VC,2020-04-14,98,C. Valenciana
AN,2020-04-15,217,Andalucía
AR,2020-04-15,76,Aragón
AS,2020-04-15,40,Asturias
CB,2020-04-15,17,Cantabria
CE,2020-04-15,0,Ceuta
CL,2020-04-15,342,CyL
CM,2020-04-15,180,CLM
CN,2020-04-15,15,Canarias
CT,2020-04-15,744,Cataluña
EX,2020-04-15,97,Extremadura
GA,2020-04-15,199,Galicia
IB,2020-04-15,9,Baleares
MC,2020-04-15,9,Murcia
MD,2020-04-15,502,Madrid
ML,2020-04-15,0,Melilla
NC,2020-04-15,78,Navarra
PV,2020-04-15,109,País Vasco
RI,2020-04-15,16,La Rioja
VC,2020-04-15,151,C. Valenciana
AN,2020-04-16,175,Andalucía
AR,2020-04-16,63,Aragón
AS,2020-04-16,12,Asturias
CB,2020-04-16,18,Cantabria
CE,2020-04-16,1,Ceuta
CL,2020-04-16,297,CyL
CM,2020-04-16,129,CLM
CN,2020-04-16,15,Canarias
CT,2020-04-16,711,Cataluña
EX,2020-04-16,69,Extremadura
GA,2020-04-16,108,Galicia
IB,2020-04-16,14,Baleares
MC,2020-04-16,1,Murcia
MD,2020-04-16,594,Madrid
ML,2020-04-16,0,Melilla
NC,2020-04-16,61,Navarra
PV,2020-04-16,128,País Vasco
RI,2020-04-16,29,La Rioja
VC,2020-04-16,130,C. Valenciana
AN,2020-04-17,141,Andalucía
AR,2020-04-17,71,Aragón
AS,2020-04-17,12,Asturias
CB,2020-04-17,26,Cantabria
CE,2020-04-17,1,Ceuta
CL,2020-04-17,204,CyL
CM,2020-04-17,147,CLM
CN,2020-04-17,8,Canarias
CT,2020-04-17,607,Cataluña
EX,2020-04-17,101,Extremadura
GA,2020-04-17,98,Galicia
IB,2020-04-17,11,Baleares
MC,2020-04-17,6,Murcia
MD,2020-04-17,388,Madrid
ML,2020-04-17,0,Melilla
NC,2020-04-17,86,Navarra
PV,2020-04-17,150,País Vasco
RI,2020-04-17,25,La Rioja
VC,2020-04-17,157,C. Valenciana
AN,2020-04-18,135,Andalucía
AR,2020-04-18,57,Aragón
AS,2020-04-18,9,Asturias
CB,2020-04-18,13,Cantabria
CE,2020-04-18,1,Ceuta
CL,2020-04-18,170,CyL
CM,2020-04-18,98,CLM
CN,2020-04-18,9,Canarias
CT,2020-04-18,451,Cataluña
EX,2020-04-18,91,Extremadura
GA,2020-04-18,107,Galicia
IB,2020-04-18,14,Baleares
MC,2020-04-18,5,Murcia
MD,2020-04-18,466,Madrid
ML,2020-04-18,0,Melilla
NC,2020-04-18,65,Navarra
PV,2020-04-18,108,País Vasco
RI,2020-04-18,17,La Rioja
VC,2020-04-18,198,C. Valenciana
AN,2020-04-19,74,Andalucía
AR,2020-04-19,43,Aragón
AS,2020-04-19,6,Asturias
CB,2020-04-19,15,Cantabria
CE,2020-04-19,0,Ceuta
CL,2020-04-19,218,CyL
CM,2020-04-19,110,CLM
CN,2020-04-19,15,Canarias
CT,2020-04-19,264,Cataluña
EX,2020-04-19,48,Extremadura
GA,2020-04-19,57,Galicia
IB,2020-04-19,10,Baleares
MC,2020-04-19,4,Murcia
MD,2020-04-19,264,Madrid
ML,2020-04-19,0,Melilla
NC,2020-04-19,46,Navarra
PV,2020-04-19,54,País Vasco
RI,2020-04-19,14,La Rioja
VC,2020-04-19,71,C. Valenciana
AN,2020-04-20,76,Andalucía
AR,2020-04-20,49,Aragón
AS,2020-04-20,7,Asturias
CB,2020-04-20,24,Cantabria
CE,2020-04-20,1,Ceuta
CL,2020-04-20,260,CyL
CM,2020-04-20,144,CLM
CN,2020-04-20,16,Canarias
CT,2020-04-20,363,Cataluña
EX,2020-04-20,49,Extremadura
GA,2020-04-20,89,Galicia
IB,2020-04-20,18,Baleares
MC,2020-04-20,2,Murcia
MD,2020-04-20,276,Madrid
ML,2020-04-20,2,Melilla
NC,2020-04-20,63,Navarra
PV,2020-04-20,82,País Vasco
RI,2020-04-20,9,La Rioja
VC,2020-04-20,71,C. Valenciana
AN,2020-04-21,154,Andalucía
AR,2020-04-21,132,Aragón
AS,2020-04-21,16,Asturias
CB,2020-04-21,10,Cantabria
CE,2020-04-21,2,Ceuta
CL,2020-04-21,278,CyL
CM,2020-04-21,147,CLM
CN,2020-04-21,7,Canarias
CT,2020-04-21,199,Cataluña
EX,2020-04-21,69,Extremadura
GA,2020-04-21,98,Galicia
IB,2020-04-21,11,Baleares
MC,2020-04-21,6,Murcia
MD,2020-04-21,475,Madrid
ML,2020-04-21,0,Melilla
NC,2020-04-21,30,Navarra
PV,2020-04-21,78,País Vasco
RI,2020-04-21,6,La Rioja
VC,2020-04-21,179,C. Valenciana
AN,2020-04-22,134,Andalucía
AR,2020-04-22,101,Aragón
AS,2020-04-22,8,Asturias
CB,2020-04-22,26,Cantabria
CE,2020-04-22,3,Ceuta
CL,2020-04-22,256,CyL
CM,2020-04-22,151,CLM
CN,2020-04-22,7,Canarias
CT,2020-04-22,325,Cataluña
EX,2020-04-22,84,Extremadura
GA,2020-04-22,134,Galicia
IB,2020-04-22,8,Baleares
MC,2020-04-22,8,Murcia
MD,2020-04-22,456,Madrid
ML,2020-04-22,1,Melilla
NC,2020-04-22,53,Navarra
PV,2020-04-22,65,País Vasco
RI,2020-04-22,15,La Rioja
VC,2020-04-22,157,C. Valenciana
AN,2020-04-23,168,Andalucía
AR,2020-04-23,28,Aragón
AS,2020-04-23,9,Asturias
CB,2020-04-23,26,Cantabria
CE,2020-04-23,3,Ceuta
CL,2020-04-23,211,CyL
CM,2020-04-23,89,CLM
CN,2020-04-23,5,Canarias
CT,2020-04-23,272,Cataluña
EX,2020-04-23,84,Extremadura
GA,2020-04-23,124,Galicia
IB,2020-04-23,5,Baleares
MC,2020-04-23,12,Murcia
MD,2020-04-23,368,Madrid
ML,2020-04-23,0,Melilla
NC,2020-04-23,56,Navarra
PV,2020-04-23,66,País Vasco
RI,2020-04-23,13,La Rioja
VC,2020-04-23,191,C. Valenciana
AN,2020-04-24,169,Andalucía
AR,2020-04-24,25,Aragón
AS,2020-04-24,17,Asturias
CB,2020-04-24,13,Cantabria
CE,2020-04-24,1,Ceuta
